frame_index_original,frame_index_zeroed,elapsed_time_s,timestamp,range_raw_m,velocity_raw_ms,range_kf_m,velocity_kf_ms,acceleration_kf_ms2,mahalanobis_d2,kf_update_accepted
2757,0,0.0,02/28/2026 13:17:22.600,47.37,-3.2,47.264370026600105,-3.19999977648879,-3.859008897461955e-06,0.00028633618652738327,True
2758,1,0.04,02/28/2026 13:17:22.640,47.37,-3.2,47.17112636866913,-3.19999973872843,-1.1732288416039712e-05,0.0009839767850083796,True
2759,2,0.08,02/28/2026 13:17:22.680,47.19,-3.2,47.06214668729522,-3.199999925233637,-1.2105042657601469e-05,0.00039768105694406534,True
2760,3,0.12,02/28/2026 13:17:22.720,47.19,-3.2,46.96348117032727,-3.199999868214389,-1.1022360107396399e-05,0.0012273670327650216,True
2761,4,0.16,02/28/2026 13:17:22.760,47.02,-3.2,46.85446083353129,-3.199999898551626,-9.804538725447166e-06,0.0006468752753349981,True
2762,5,0.2,02/28/2026 13:17:22.800,46.84,-3.37,46.73287827750318,-3.2991335799152512,-0.9469202077551186,4.819165898675474,True
2763,6,0.24,02/28/2026 13:17:22.840,46.66,-3.37,46.60440595945697,-3.355654628117778,-1.12399174321013,0.18936975798795602,True
2764,7,0.28,02/28/2026 13:17:22.880,46.49,-3.37,46.47172832909632,-3.3835348089409187,-0.9608861889449116,0.16575148630892778,True
2765,8,0.32,02/28/2026 13:17:22.920,46.31,-3.37,46.335167332531476,-3.3930864539524013,-0.6837818651582308,0.47993722759275315,True
2766,9,0.36,02/28/2026 13:17:22.960,46.31,-3.37,46.207831940609424,-3.3924231656836836,-0.4145415253774623,0.45262981000833385,True
2767,10,0.4,02/28/2026 13:17:23.000,45.96,-3.37,46.06577167743611,-3.387340831585892,-0.2062893076203569,0.2708008921722123,True
2768,11,0.44,02/28/2026 13:17:23.040,45.96,-3.37,45.932610982971376,-3.3813783226999146,-0.06968404145375379,0.11649678760625004,True
2769,12,0.48,02/28/2026 13:17:23.080,45.96,-3.37,45.80687503888833,-3.3762985633329836,0.005907307444071377,0.036216993241810415,True
2770,13,0.52,02/28/2026 13:17:23.120,45.96,-3.37,45.68738910880804,-3.372695458759971,0.03825142389113356,0.008199938064484533,True
2771,14,0.56,02/28/2026 13:17:23.160,45.61,-3.54,45.55071549186393,-3.4649149137806914,-0.8625069909039854,5.070856321848292,True
2772,15,0.6,02/28/2026 13:17:23.200,45.44,-3.54,45.41167368035928,-3.521950427782074,-1.0790308648459517,0.29303249837888773,True
2773,16,0.64,02/28/2026 13:17:23.240,45.44,-3.54,45.278464410087054,-3.5511678909913647,-0.9450581299438823,0.11275951662776361,True
2774,17,0.68,02/28/2026 13:17:23.280,45.44,-3.54,45.15042773370832,-3.5617785527064996,-0.6837975824535978,0.4284665222477578,True
2775,18,0.72,02/28/2026 13:17:23.320,45.44,-3.54,45.027023800373385,-3.5618496267712008,-0.4216825355089033,0.43317624013139056,True
2776,19,0.76,02/28/2026 13:17:23.360,44.73,-3.54,44.87906181458052,-3.557219189658119,-0.21512290074607723,0.2671564679699195,True
2777,20,0.8,02/28/2026 13:17:23.400,44.73,-3.54,44.73707037702896,-3.551485020564379,-0.07734847637715567,0.11863714234245455,True
2778,21,0.84,02/28/2026 13:17:23.440,44.56,-3.54,44.59405152101747,-3.5464838984894596,0.00043196221742204666,0.03783660066336186,True
2779,22,0.88,02/28/2026 13:17:23.480,44.56,-3.54,44.456263655229456,-3.542875803998957,0.03493166622356687,0.007675534799623266,True
2780,23,0.92,02/28/2026 13:17:23.520,44.21,-3.54,44.31097718426321,-3.5406577209020376,0.04282021850131248,0.0006126194053766592,True
2781,24,0.96,02/28/2026 13:17:23.560,44.21,-3.54,44.17072188061994,-3.5395306994899953,0.03719105537808839,0.00023184559701995173,True
2782,25,1.0,02/28/2026 13:17:23.600,44.21,-3.54,44.035001285194035,-3.5391293987786367,0.0267498475075858,0.001351654347309991,True
2783,26,1.04,02/28/2026 13:17:23.640,44.21,-3.71,43.89857664051941,-3.6335306562962733,-0.8905728106576061,5.2613614581417005,True
2784,27,1.08,02/28/2026 13:17:23.680,44.03,-3.71,43.759847752874606,-3.691833540325764,-1.1084939928788564,0.2984015223331,True
2785,28,1.12,02/28/2026 13:17:23.720,43.86,-3.88,43.61459267566026,-3.8160341326013008,-1.8758257782342418,3.681292446819951,True
2786,29,1.16,02/28/2026 13:17:23.760,43.86,-3.88,43.472271534602285,-3.884921411976862,-1.8167829282996757,0.02506720963040433,True
2787,30,1.2,02/28/2026 13:17:23.800,43.86,-3.88,43.33286528069845,-3.9145077778137756,-1.4028197194047554,1.077100472056969,True
2788,31,1.24,02/28/2026 13:17:23.840,43.86,-3.88,43.196381746265146,-3.920301568038612,-0.9193522213326821,1.470485019217432,True
2789,32,1.28,02/28/2026 13:17:23.880,43.68,-3.88,43.05801821353157,-3.914277669187152,-0.5081481005770653,1.06523508167178,True
2790,33,1.32,02/28/2026 13:17:23.920,43.33,-3.88,42.913668522545606,-3.9042837606697995,-0.21683394880259882,0.5341743490832864,True
2791,34,1.36,02/28/2026 13:17:23.960,43.33,-3.88,42.772677126583076,-3.8946564899996963,-0.04100668076425315,0.1999734698337284,True
2792,35,1.4000000000000001,02/28/2026 13:17:24.000,42.98,-3.88,42.62623893814362,-3.8872472746465445,0.045936676394205775,0.049963435454709645,True
2793,36,1.44,02/28/2026 13:17:24.040,42.98,-4.05,42.478314411188684,-3.9767993823290366,-0.8321717702874389,4.824651672755414,True
2794,37,1.48,02/28/2026 13:17:24.080,42.63,-4.05,42.32473197784191,-4.032248289236222,-1.0451172366078956,0.28542822990140837,True
2795,38,1.52,02/28/2026 13:17:24.120,42.45,-4.05,42.169863511001225,-4.06069689042561,-0.9167933075219178,0.10462183952072561,True
2796,39,1.56,02/28/2026 13:17:24.160,41.75,-4.05,42.00230945642628,-4.07106711061246,-0.6640755110495625,0.400539652368669,True
2797,40,1.6,02/28/2026 13:17:24.200,41.58,-4.21,41.830074182711805,-4.160025008174999,-1.263579573973145,2.2476446351730535,True
2798,41,1.6400000000000001,02/28/2026 13:17:24.240,41.4,-4.21,41.657056346735466,-4.210253093228804,-1.2605470275310293,0.0014874206015091673,True
2799,42,1.68,02/28/2026 13:17:24.280,41.4,-4.21,41.487244252428084,-4.232537323111934,-0.9901902412397199,0.45699323060936936,True
2800,43,1.72,02/28/2026 13:17:24.320,41.4,-4.38,41.3157789951757,-4.332032406272092,-1.5656088970238788,2.069566989591417,True
2801,44,1.76,02/28/2026 13:17:24.360,41.05,-4.38,41.13982758908769,-4.386518586884928,-1.4874130906624756,0.0383901307147324,True
2802,45,1.8,02/28/2026 13:17:24.400,40.7,-4.38,40.95986939796637,-4.409359961150336,-1.1352142287965308,0.7767288103449366,True
2803,46,1.84,02/28/2026 13:17:24.440,40.7,-4.38,40.783121474607036,-4.413252685104813,-0.7363157694825226,0.9946471370392566,True
2804,47,1.8800000000000001,02/28/2026 13:17:24.480,40.7,-4.55,40.60472578993401,-4.502281614123114,-1.308744780378451,2.0481613138671437,True
2805,48,1.92,02/28/2026 13:17:24.520,40.35,-4.55,40.42234973712358,-4.552059882600425,-1.2840353961345394,0.003928811476230826,True
2806,49,1.96,02/28/2026 13:17:24.560,40.35,-4.72,40.23793841894917,-4.668152614285882,-1.905995711482992,2.4179832184845167,True
2807,50,2.0,02/28/2026 13:17:24.600,39.82,-4.55,40.051112294680834,-4.636454453151162,-0.8688902332852237,6.723561123243449,True
2808,51,2.04,02/28/2026 13:17:24.640,40.0,-4.72,39.8659473943366,-4.698300956323056,-1.1291903864360884,0.42386136571901006,True
2809,52,2.08,02/28/2026 13:17:24.680,39.65,-4.72,39.67731224866155,-4.730437454939075,-1.0039829265801399,0.09799654605897418,True
2810,53,2.12,02/28/2026 13:17:24.720,39.65,-4.72,39.49150739959677,-4.742502165304136,-0.7340445281586221,0.45596090365126823,True
2811,54,2.16,02/28/2026 13:17:24.760,38.95,-4.72,39.29681981682332,-4.743066505585438,-0.4573431738806078,0.48110766321116477,True
2812,55,2.2,02/28/2026 13:17:24.800,38.95,-4.89,39.1004752486745,-4.832788979473559,-1.143649294158505,2.944344409663566,True
2813,56,2.24,02/28/2026 13:17:24.840,38.77,-4.89,38.90371351697489,-4.884901239653985,-1.2048158983484634,0.02376883640306005,True
2814,57,2.2800000000000002,02/28/2026 13:17:24.880,38.59,-4.89,38.706713847642995,-4.909165750250541,-0.9749049154912837,0.33066064949181956,True
2815,58,2.32,02/28/2026 13:17:24.920,38.42,-4.89,38.509823863846066,-4.915867083122845,-0.6646042987865781,0.6019623463652657,True
2816,59,2.36,02/28/2026 13:17:24.960,38.07,-4.89,38.310407198790294,-4.913327541443618,-0.38477009066198875,0.4906589666804774,True
2817,60,2.4,02/28/2026 13:17:25.000,37.89,-5.06,38.10641078225335,-5.00161412766089,-1.0851706282080604,3.067022201538552,True
2818,61,2.44,02/28/2026 13:17:25.040,37.89,-5.06,37.90481774780112,-5.053338241116242,-1.1650853663188023,0.03991957744583402,True
2819,62,2.48,02/28/2026 13:17:25.080,37.72,-5.06,37.70316394463315,-5.077763626650018,-0.951992464803974,0.28380997060159624,True
2820,63,2.52,02/28/2026 13:17:25.120,37.72,-5.06,37.504101156759056,-5.084835429434071,-0.6540634498705442,0.5557663171150611,True
2821,64,2.56,02/28/2026 13:17:25.160,37.72,-5.06,37.30766551198372,-5.082680203100448,-0.38198591129365744,0.4663236595166029,True
2822,65,2.6,02/28/2026 13:17:25.200,37.72,-5.06,37.113849422343826,-5.076881239213503,-0.17947020716473347,0.26422914620029725,True
2823,66,2.64,02/28/2026 13:17:25.240,36.84,-5.06,36.910334174990716,-5.070700573916113,-0.05110694265057705,0.10308773216161392,True
2824,67,2.68,02/28/2026 13:17:25.280,36.84,-5.23,36.70478741458421,-5.160062135452705,-0.8900805712012264,4.399615219004799,True
2825,68,2.72,02/28/2026 13:17:25.320,36.84,-5.23,36.50133426637129,-5.214729490698744,-1.0732612319637778,0.2121782133262405,True
2826,69,2.7600000000000002,02/28/2026 13:17:25.360,36.31,-5.23,36.29292075071276,-5.2423014558411785,-0.9256925937611947,0.13610956373155153,True
2827,70,2.8000000000000003,02/28/2026 13:17:25.400,36.31,-5.23,36.086905502865505,-5.251938308402404,-0.6625173961503452,0.4339542362823502,True
2828,71,2.84,02/28/2026 13:17:25.440,35.96,-5.23,35.878776116879884,-5.251542638639818,-0.4040905610649538,0.41754556475639704,True
2829,72,2.88,02/28/2026 13:17:25.480,35.61,-5.23,35.668719542634264,-5.246769573252662,-0.20292334946137866,0.25299977497368703,True
