frame_index_original,frame_index_zeroed,elapsed_time_s,timestamp,range_raw_m,velocity_raw_ms,range_kf_m,velocity_kf_ms,acceleration_kf_ms2,mahalanobis_d2,kf_update_accepted
657,0,0.0,03/22/2026 12:53:20.240,44.91017964,-0.505660158,44.89841632749311,-0.505660073440586,-1.4599515194437097e-06,1.7117788215112743e-05,True
658,1,0.04,03/22/2026 12:53:20.280,45.08561003,-0.505660158,44.939376654190276,-0.505659570149923,-1.4300180510311773e-05,0.002182210529610359,True
659,2,0.08,03/22/2026 12:53:20.320,45.08561003,-0.505660158,44.957068637069256,-0.5056596591171489,-1.841886225368374e-05,0.0015394003460889039,True
660,3,0.12,03/22/2026 12:53:20.360,44.73474925,-0.505660158,44.89934779939538,-0.5056609603251733,-1.553589095152879e-05,0.00239318650294817,True
661,4,0.16,03/22/2026 12:53:20.400,44.73474925,-0.674213543,44.85270088229536,-0.609750976289743,-1.0402170290883528,4.347341960444312,True
662,5,0.2,03/22/2026 12:53:20.440,44.38388847,-0.674213543,44.766889998030514,-0.6646886068581279,-1.1675159844838636,0.09929583061704841,True
663,6,0.24,03/22/2026 12:53:20.480,44.38388847,-0.674213543,44.69795729141981,-0.6903807773171602,-0.9679764127622766,0.2484436096101718,True
664,7,0.28,03/22/2026 12:53:20.520,44.38388847,-0.842766929,44.63613262742278,-0.7925150980489315,-1.5735673388678375,2.289976266913321,True
665,8,0.32,03/22/2026 12:53:20.560,44.38388847,-0.842766929,44.58240891006766,-0.8484055727924767,-1.5058996129323763,0.03175563722200756,True
666,9,0.36,03/22/2026 12:53:20.600,44.03302769,-0.842766929,44.50390733110978,-0.8720556278414567,-1.1542540980340399,0.7891739485618426,True
667,10,0.4,03/22/2026 12:53:20.640,43.85759731,-0.842766929,44.42088811142166,-0.8763172493365154,-0.7513664174111231,1.0374088059820896,True
668,11,0.44,03/22/2026 12:53:20.680,43.85759731,-0.842766929,44.347573405167374,-0.8710482735562672,-0.41185724868437534,0.7381335581592003,True
669,12,0.48,03/22/2026 12:53:20.720,43.85759731,-1.011320315,44.27738735846277,-0.956275606066368,-1.0724712533439984,2.739500354712052,True
670,13,0.52,03/22/2026 12:53:20.760,43.68216692,-1.011320315,44.20180758268054,-1.0059218279885769,-1.1372706788433478,0.04701817125183663,True
671,14,0.56,03/22/2026 12:53:20.800,43.85759731,-1.011320315,44.143279613890265,-1.0291519034223118,-0.9233694475888016,0.2921930153383507,True
672,15,0.6,03/22/2026 12:53:20.840,43.85759731,-1.179873701,44.08419869846857,-1.1292697038723216,-1.5304318492747109,2.307205459876337,True
673,16,0.64,03/22/2026 12:53:20.880,43.50673653,-1.179873701,44.00921979064133,-1.1845964998162826,-1.4738039274948795,0.039248378108508356,True
674,17,0.68,03/22/2026 12:53:20.920,43.50673653,-1.179873701,43.93902024655524,-1.2081947711458518,-1.1340864168295193,0.735454333044827,True
675,18,0.72,03/22/2026 12:53:20.960,43.68216692,-1.179873701,43.88165920372788,-1.2126451946469206,-0.7409689707264218,0.96888062731502,True
676,19,0.76,03/22/2026 12:53:21.000,43.85759731,-1.348427087,43.83076352081323,-1.3012208673591625,-1.3072546345328377,2.0042947644073834,True
677,20,0.8,03/22/2026 12:53:21.040,43.50673653,-1.348427087,43.76571010022819,-1.3506894946725903,-1.2801281012143002,0.009648757680015739,True
678,21,0.84,03/22/2026 12:53:21.080,43.50673653,-1.348427087,43.70343884300561,-1.3722072720825635,-0.994870729730938,0.5114729624078033,True
679,22,0.88,03/22/2026 12:53:21.120,43.50673653,-1.348427087,43.643757382321695,-1.3767021613767971,-0.6556895599299726,0.720425450335763,True
680,23,0.92,03/22/2026 12:53:21.160,43.15587575,-1.516980473,43.56793219853586,-1.466259716401987,-1.2641571606616362,2.3267110521726333,True
681,24,0.96,03/22/2026 12:53:21.200,43.15587575,-1.516980473,43.494911965111584,-1.5169135572875514,-1.26497691447686,0.008599706701038356,True
682,25,1.0,03/22/2026 12:53:21.240,43.15587575,-1.516980473,43.42452010476504,-1.539455560632093,-0.9953789302137651,0.45964635132797677,True
683,26,1.04,03/22/2026 12:53:21.280,43.15587575,-1.516980473,43.35663545525046,-1.5446844939942455,-0.6630511595411589,0.6932553818571174,True
684,27,1.08,03/22/2026 12:53:21.320,43.15587575,-1.685533858,43.28638110125882,-1.6346886079225842,-1.2729978182217425,2.3265002777103883,True
685,28,1.12,03/22/2026 12:53:21.360,42.98044536,-1.685533858,43.21209475289877,-1.6855682799806972,-1.2725963057731196,0.003993023142964677,True
686,29,1.16,03/22/2026 12:53:21.400,42.98044536,-1.685533858,43.139893497043,-1.7081889851229788,-1.000832967231787,0.4634774720034396,True
687,30,1.2,03/22/2026 12:53:21.440,42.98044536,-1.685533858,43.0697491537386,-1.7134143885167425,-0.6663821713602942,0.6996951507761056,True
688,31,1.24,03/22/2026 12:53:21.480,42.98044536,-1.854087244,42.99684720690531,-1.8033791521084703,-1.2746778172769213,2.312669215716429,True
689,32,1.28,03/22/2026 12:53:21.520,42.98044536,-1.854087244,42.92535065208147,-1.8542110467501256,-1.2731900037999149,0.0002387738750163949,True
690,33,1.32,03/22/2026 12:53:21.560,42.98044536,-1.854087244,42.85529165235545,-1.8767911906748398,-1.0008271461014513,0.46480040842254,True
691,34,1.36,03/22/2026 12:53:21.600,42.98044536,-1.854087244,42.78672250106331,-1.8819878987556378,-0.6661212303196611,0.7029634835173446,True
692,35,1.4000000000000001,03/22/2026 12:53:21.640,42.98044536,-2.02264063,42.714886508806636,-1.9719353682631962,-1.2743693539517782,2.3174694252097354,True
693,36,1.44,03/22/2026 12:53:21.680,42.80501497,-2.02264063,42.63942673281476,-2.022759625304842,-1.2729339427373567,0.0020383761102822774,True
694,37,1.48,03/22/2026 12:53:21.720,42.98044536,-2.02264063,42.5696857044897,-2.0453363877776574,-1.0006557247138586,0.4758224281691595,True
695,38,1.52,03/22/2026 12:53:21.760,42.80501497,-2.02264063,42.49672599319093,-2.0505339941366496,-0.6660319005254096,0.7068627985341233,True
696,39,1.56,03/22/2026 12:53:21.800,42.80501497,-2.191194016,42.42037676812526,-2.14048330026181,-1.2743399109730138,2.323604573439827,True
697,40,1.6,03/22/2026 12:53:21.840,42.80501497,-2.191194016,42.34486489453965,-2.1913085203514235,-1.2729444589666052,0.015613852195719842,True
698,41,1.6400000000000001,03/22/2026 12:53:21.880,42.98044536,-2.191194016,42.27433975322351,-2.2138864190846372,-1.000692667384656,0.5000104543078895,True
699,42,1.68,03/22/2026 12:53:21.920,42.80501497,-2.359747402,42.19594372064382,-2.3126759187229218,-1.5653339067165657,2.019861173112386,True
700,43,1.72,03/22/2026 12:53:21.960,42.45415419,-2.359747402,42.11038244640232,-2.3666576962074366,-1.4824217112690852,0.05166468736140799,True
701,44,1.76,03/22/2026 12:53:22.000,42.2787238,-2.359747402,42.02211086455663,-2.389191035443694,-1.1292034600338416,0.7846293034051952,True
702,45,1.8,03/22/2026 12:53:22.040,41.92786302,-2.359747402,41.92781117780605,-2.392930244075684,-0.7311417077752048,0.9903322651403574,True
703,46,1.84,03/22/2026 12:53:22.080,41.75243263,-2.359747402,41.83165260771943,-2.3875122745536457,-0.39807770108860047,0.6937785470633,True
704,47,1.8800000000000001,03/22/2026 12:53:22.120,41.57700225,-2.528300788,41.72905969249661,-2.4727689379669004,-1.064245530572686,2.7753403610024323,True
705,48,1.92,03/22/2026 12:53:22.160,41.40157186,-2.528300788,41.62440783727438,-2.522537220110798,-1.13339578389086,0.033533885166380485,True
706,49,1.96,03/22/2026 12:53:22.200,41.22614147,-2.528300788,41.51795747465258,-2.5459016838682236,-0.9222688719962522,0.2848269472525465,True
707,50,2.0,03/22/2026 12:53:22.240,41.22614147,-2.528300788,41.413324220989416,-2.5525363855307983,-0.6315471020551567,0.5308035764595437,True
