,Time,Latitude,Longitude,Position,Speed,Acceleration
0,2026-02-28 17:12:43.600,31.8237684,-106.5220728,0.0,40.968,-2.4499999999999966
1,2026-02-28 17:12:43.640,31.8237713,-106.5220761,0.44904675203502586,40.68000000000001,-2.5500000000000034
2,2026-02-28 17:12:43.680,31.8237742,-106.5220793,0.8915711416844367,40.32,-2.575000000000003
3,2026-02-28 17:12:43.720,31.8237771,-106.5220825,1.334095525119602,40.068000000000005,-2.612500000000002
4,2026-02-28 17:12:43.760,31.8237799,-106.5220857,1.7685657409677074,39.708,-2.6750000000000007
5,2026-02-28 17:12:43.800,31.8237827,-106.5220888,2.196500487728215,39.204,-2.6249999999999973
6,2026-02-28 17:12:43.840,31.8237855,-106.522092,2.630970689850098,38.952000000000005,-2.6250000000000018
7,2026-02-28 17:12:43.880,31.8237882,-106.5220949,3.03788207513609,38.556000000000004,-2.6375000000000037
8,2026-02-28 17:12:43.920,31.8237909,-106.522098,3.4577779149812815,38.196,-2.5875
9,2026-02-28 17:12:43.960,31.8237936,-106.5221011,3.8776737488384634,37.800000000000004,-2.6125
10,2026-02-28 17:12:44.000,31.8237963,-106.5221041,4.291020118346777,37.368,-2.6500000000000012
11,2026-02-28 17:12:44.040,31.8237989,-106.5221071,4.696343988976764,36.936,-2.599999999999998
12,2026-02-28 17:12:44.080,31.8238015,-106.52211,5.095103413010469,36.648,-2.599999999999998
13,2026-02-28 17:12:44.120,31.8238041,-106.5221129,5.49386283201755,36.216,-2.575
14,2026-02-28 17:12:44.160,31.8238066,-106.5221158,5.884617403593863,35.856,-2.5250000000000012
15,2026-02-28 17:12:44.200,31.8238091,-106.5221186,6.268791455037235,35.496,-2.5625000000000027
16,2026-02-28 17:12:44.240,31.8238116,-106.5221214,6.652965501823252,35.1,-2.5750000000000006
17,2026-02-28 17:12:44.280,31.8238141,-106.5221241,7.030681258031289,34.812,-2.6374999999999997
18,2026-02-28 17:12:44.320,31.8238165,-106.522127,7.413587283961666,34.488,-2.6500000000000012
19,2026-02-28 17:12:44.360,31.823819,-106.5221296,7.7849733528303355,33.984,-2.500000000000002
20,2026-02-28 17:12:44.400,31.8238214,-106.5221323,8.154563785345823,33.552,-2.4
21,2026-02-28 17:12:44.440,31.8238237,-106.522135,8.51618904920791,33.264,-2.4375000000000013
22,2026-02-28 17:12:44.480,31.823826,-106.5221375,8.864712518981456,32.832,-2.462500000000003
23,2026-02-28 17:12:44.520,31.8238283,-106.5221402,9.226337772908366,32.616,-2.5250000000000012
24,2026-02-28 17:12:44.560,31.8238306,-106.5221428,9.581346574232109,32.184,-2.537499999999999
25,2026-02-28 17:12:44.600,31.8238329,-106.5221453,9.92987003263666,31.788,-2.424999999999998
26,2026-02-28 17:12:44.640,31.8238351,-106.5221478,10.270299444948964,31.392000000000003,-2.35
27,2026-02-28 17:12:44.680,31.8238373,-106.5221502,10.604228277248774,30.924,-2.3124999999999982
28,2026-02-28 17:12:44.720,31.8238395,-106.5221527,10.944657682382351,30.743999999999996,-2.3374999999999972
29,2026-02-28 17:12:44.760,31.8238416,-106.5221551,11.270510237726036,30.528000000000002,-2.3999999999999977
30,2026-02-28 17:12:44.800,31.8238438,-106.5221575,11.60443905887106,30.096,-2.375
31,2026-02-28 17:12:44.840,31.8238459,-106.5221599,11.930291606565435,29.7,-2.3375000000000012
32,2026-02-28 17:12:44.880,31.8238479,-106.5221622,12.241570194508835,29.304000000000002,-2.3125
33,2026-02-28 17:12:44.920,31.82385,-106.5221645,12.560905581803503,28.872,-2.1874999999999987
34,2026-02-28 17:12:44.960,31.823852,-106.5221667,12.86564890596423,28.62,-2.1125000000000016
35,2026-02-28 17:12:45.000,31.823854,-106.5221691,13.183609818589316,28.368,-2.200000000000002
36,2026-02-28 17:12:45.040,31.823856,-106.5221713,13.4883531365939,28.044,-2.2875000000000014
