Time (s),Position (m),Speed (m/s),Acceleration (m/s^2)
11.04,175.046377560764,15.99,-0.374999999999999
11.08,175.681015447421,15.95,-0.374999999999999
11.12,176.326636853599,15.94,-0.262499999999999
11.16,176.961957793454,15.92,-0.237499999999999
11.2,177.606041859693,15.92,-0.225
11.24,178.242239929498,15.92,-0.212499999999998
11.28,178.877560877568,15.91,-0.212499999999998
11.32,179.512198780674,15.91,-0.2
11.36,180.149467263975,15.9,-0.212500000000002
11.4,180.784788220918,15.85,-0.175000000000001
11.44,181.420109180627,15.8,-0.0499999999999989
11.48,182.055430143074,15.84,-0.0500000000000012
11.52,182.690068060572,15.84,-0.112500000000002
11.56,183.325389027784,15.83,-0.1125
11.6,183.961587124259,15.83,-0.112499999999998
11.64,184.596908097661,15.84,-0.137499999999999
11.68,185.231546026124,15.82,-0.162500000000001
11.72,185.859408331165,15.84,-0.2125
11.76,186.494729313439,15.8,-0.137499999999999
11.8,187.130050298479,15.81,0
11.84,187.765371286257,15.8,0.0750000000000006
11.88,188.390563448862,15.8,0.0750000000000028
11.92,189.026761566525,15.79,0.0375000000000036
11.96,189.662959688946,15.79,0
12,190.288845216516,15.78,-0.0500000000000034
12.04,190.924166218671,15.78,-0.0250000000000017
12.08,191.550051751608,15.75,0.0999999999999979
12.12,192.186249885686,15.74,0.212499999999995
12.16,192.820887849103,15.79,0.112499999999998
12.2,193.456208862185,15.82,-0.0500000000000012
12.24,194.091529878033,15.85,-0.1
12.28,194.708884612162,15.81,0.0249999999999995
12.32,195.344205634171,15.81,0.162499999999999
12.36,195.970981516149,15.77,0.212500000000002
12.4,196.606302544292,15.76,0.200000000000005
12.44,197.242500701615,15.78,0.0750000000000028
12.48,197.877138688334,15.83,-0.0499999999999989
12.52,198.514407254905,15.83,-0.0624999999999964
12.56,199.139599466792,15.79,0.0625000000000031
12.6,199.776868039506,15.78,0.174999999999998
12.64,200.411506038562,15.81,0.187499999999998
12.68,201.048774617418,15.87,0.0875000000000004
12.72,201.683412622642,15.88,-0.0250000000000039
12.76,202.320681207641,15.87,-0.0500000000000034
12.8,202.945873436413,15.82,0.0750000000000006
12.84,203.582071623784,15.78,0.237499999999999
12.88,204.208847546122,15.79,0.262499999999999
12.92,204.845045740364,15.82,0.174999999999996
12.96,205.481243937989,15.85,0.0749999999999962
13,206.117442139068,15.86,0.0750000000000028
13.04,206.754710747273,15.88,0.1
13.08,207.390031829502,15.87,0.112499999999995
13.12,208.026230040835,15.86,0.175000000000001
13.16,208.663498659278,15.85,0.275000000000003
13.2,209.298819751777,15.9,0.250000000000001
13.24,209.935017973366,15.89,0.175000000000001
13.28,210.572286602047,15.89,0.162500000000001
13.32,211.207607704814,15.86,0.187500000000003
13.36,211.843805936658,15.87,0.1875
13.4,212.481074575577,15.9,0.137499999999997
13.44,213.116395688614,15.92,0.1125
13.48,213.752593930713,15.92,0.100000000000002
13.52,214.407639899742,15.95,0.0750000000000028
13.56,215.044908552312,15.98,-0.0249999999999995
13.6,215.68110680535,15.97,-0.0875000000000026
13.64,216.318375465428,15.96,-2.22044604925031e-15
13.68,216.953696599688,15.95,0.0750000000000006
13.72,217.589894862981,15.95,0.0750000000000028
13.76,218.227163533297,15.93,0.0875000000000048
13.8,218.862484677826,15.95,0.100000000000002
13.84,219.508106297778,15.96,0.0750000000000006
13.88,220.145374978332,15.96,0.0250000000000017
13.92,220.780696133131,15.97,-0.0250000000000017
13.96,221.416894416935,15.94,-0.0250000000000017
14,222.06357085665,15.94,-0.012500000000002
14.04,222.698892021718,15.99,-0.0875000000000026
14.08,223.344513663828,15.98,-0.150000000000003
14.12,223.999559686379,15.98,-0.150000000000006
14.16,224.646236139951,15.97,-0.150000000000003
14.2,225.282434444949,15.99,-0.150000000000001
14.24,225.918632753331,15.98,-0.0875000000000004
14.28,226.554831065131,15.96,-0.0374999999999992
14.32,227.200452727415,15.95,-0.0874999999999981
14.36,227.836651046052,15.94,-0.149999999999999
14.4,228.472849368107,15.93,-0.199999999999998
14.44,229.109047693615,15.93,-0.262499999999994
14.48,229.754669371083,15.92,-0.224999999999997
14.52,230.389990577257,15.92,-0.124999999999997
14.56,231.026188912302,15.91,-0.0874999999999959
14.6,231.661510124637,15.93,-0.125
14.64,232.298778869348,15.97,-0.212500000000002
14.68,232.934100088502,15.94,-0.225000000000004
14.72,233.579721784096,15.9,-0.162500000000003
14.76,234.215920135549,15.87,-0.112500000000002
14.8,234.852118490421,15.84,-0.0500000000000012
14.84,235.487439722611,15.81,0.0249999999999972
14.88,236.12363808367,15.86,-0.0249999999999995
14.92,236.759836448114,15.88,-0.1125
14.96,237.395157689888,15.88,-0.150000000000003
15,238.031356060484,15.86,-0.162499999999999
15.04,238.66667730842,15.87,-0.112499999999998
15.08,239.301315511713,15.86,-0.0374999999999992
15.12,239.938584293964,15.85,0.0124999999999975
15.16,240.573222503425,15.83,0.0249999999999995
15.2,241.210491291819,15.84,0
15.24,241.845129507449,15.83,-0.0500000000000012
15.28,242.481327898556,15.82,-0.0875000000000004
15.32,243.11664916703,15.83,-0.137500000000002
15.36,243.75284756429,15.81,-0.162500000000001
15.4,244.397605006853,15.8,-0.0875000000000004
15.44,245.032243236876,15.84,0
15.48,245.667564516276,15.86,-0.037499999999997
15.52,246.302885798443,15.86,-0.162499999999997
15.56,246.939084209411,15.84,-0.237499999999999
15.6,247.573722450399,15.83,-0.237499999999997
15.64,248.209920866803,15.8,-0.162499999999999
15.68,248.844559113274,15.78,-0.0750000000000028
15.72,249.470444932839,15.76,-0.012500000000002
15.76,250.105083184108,15.75,0.0249999999999972
15.8,250.739721437433,15.79,-2.22044604925031e-15
15.84,251.374359692814,15.85,-0.174999999999998
15.88,252.009680997545,15.82,-0.337499999999999
15.92,252.626132074492,15.77,-0.312499999999998
15.96,253.27088955319,15.74,-0.1875
16,253.905527818851,15.74,-0.0375000000000036
16.04,254.539677745098,15.76,-0.0124999999999975
16.08,255.174316014186,15.76,-0.112499999999995
16.12,255.808465943863,15.77,-0.224999999999995
16.16,256.433658431192,15.76,-0.249999999999997
16.2,257.067808364312,15.78,-0.212500000000002
16.24,257.693694209483,15.72,-0.112500000000002
16.28,258.327844146718,15.68,0.0250000000000017
16.32,258.952540916054,15.66,0.125
16.36,259.586397670424,15.7,0.0750000000000006
16.4,260.220254425473,15.75,-0.137499999999997
16.44,260.844951197526,15.74,-0.225
16.48,261.479589481691,15.69,-0.0875000000000026
16.52,262.094430302627,15.66,0.0749999999999984
16.56,262.729068588849,15.67,0.137500000000002
16.6,263.362827591176,15.7,0.0500000000000034
16.64,263.996684352401,15.71,-0.125
16.68,264.631322641386,15.71,-0.200000000000005
16.72,265.265081646458,15.73,-0.212500000000002
16.76,265.879922472055,15.69,-0.149999999999999
16.8,266.514072421622,15.65,-0.012500000000002
16.84,267.147831428067,15.66,-0.0250000000000039
16.88,267.781688193416,15.7,-0.187499999999998
16.92,268.39652902101,15.71,-0.299999999999998
16.96,269.030288028142,15.73,-0.287500000000001
17,269.654587946176,15.68,-0.137500000000002
17.04,270.297806042405,15.63,0.0499999999999989
17.08,270.922105959096,15.63,0.1125
17.12,271.54650511631,15.64,0.0374999999999992
17.16,272.170805033668,15.66,-0.0875000000000026
17.2,272.804564040114,15.67,-0.1875
17.24,273.428963195308,15.62,-0.174999999999998
17.28,274.053362351163,15.59,-0.1125
17.32,274.687219114453,15.58,-0.0250000000000017
17.36,275.302160705082,15.63,-0.0250000000000017
17.4,275.936017467,15.67,-0.149999999999997
17.44,276.560714242425,15.68,-0.249999999999997
17.48,277.185113394231,15.67,-0.287499999999996
17.52,277.818872395186,15.63,-0.199999999999996
17.56,278.444064894667,15.6,-0.0999999999999979
17.6,279.078214836689,15.58,-2.22044604925031e-15
17.64,279.702613983096,15.57,0.0749999999999962
17.68,280.31785776513,15.55,0.0624999999999964
17.72,280.951714518813,15.6,0
17.76,281.576907012218,15.59,-0.0499999999999989
17.8,282.191848591523,15.59,-0.112500000000002
17.84,282.8259985267,15.56,-0.1
17.88,283.451191016054,15.56,-2.22044604925031e-15
17.92,284.085829288569,15.58,0.0124999999999975
17.96,284.710228424153,15.57,0.0374999999999992
18,285.335420908782,15.61,0.0500000000000012
18.04,285.960613390043,15.6,0.0750000000000051
18.08,286.58531014588,15.57,0.125000000000004
18.12,287.201057247156,15.58,0.1125
18.16,287.83569550939,15.57,0.1125
18.2,288.461581339717,15.52,0.1875
18.24,289.076825099142,15.55,0.212499999999998
18.28,289.70360125381,15.57,0.162499999999999
18.32,290.328793721562,15.58,0.125
18.36,290.954679541135,15.6,0.0750000000000006
18.4,291.579872004161,15.62,0.0625000000000031
18.44,292.205064465161,15.65,0.0875000000000004
18.48,292.831840607708,15.62,0.0875000000000004
18.52,293.457726418507,15.62,0.0750000000000028
18.56,294.083612225268,15.62,0.0625000000000009
18.6,294.709498030644,15.62,0.0750000000000006
18.64,295.33538383201,15.62,0.1125
18.68,295.96126963202,15.63,0.125
18.72,296.588045759071,15.62,0.137500000000002
18.76,297.21393155167,15.62,0.187500000000003
18.8,297.840707672661,15.65,0.162500000000001
18.84,298.466593459191,15.69,0.0374999999999992
18.88,299.093369574121,15.65,0.0124999999999975
18.92,299.720145685684,15.65,0.0749999999999962
18.96,300.346921792576,15.64,0.1125
19,300.973697897405,15.66,0.1
19.04,301.59958366775,15.67,0.0500000000000012
19.08,302.227446232945,15.68,0.0500000000000034
19.12,302.85530879277,15.68,0.0624999999999987
19.16,303.482084883457,15.71,0.0249999999999972
19.2,304.109947437224,15.69,0.0250000000000017
19.24,304.747216194221,15.68,0.0499999999999989
19.28,305.365674144428,15.67,0.0249999999999972
19.32,305.993536684758,15.69,0.0250000000000017
19.36,306.621399222391,15.69,0.0500000000000034
19.4,307.258667963008,15.69,0.0500000000000034
19.44,307.887812078236,15.68,0.137499999999999
19.48,308.516956190103,15.71,0.212499999999995
19.52,309.144818710258,15.7,0.174999999999998
19.56,309.772681225043,15.71,0.125
19.6,310.414310270276,15.71,0.0874999999999981
19.64,311.042172776314,15.7,0.0875000000000026
19.68,311.672792381944,15.67,0.162500000000003
19.72,312.303411983606,15.71,0.224999999999997
19.76,312.934031578528,15.71,0.224999999999995
19.8,313.572562978979,15.71,0.237499999999997
19.84,314.204850656426,15.77,0.175000000000003
19.88,314.844835921349,15.79,0.0500000000000034
19.92,315.47712358612,15.76,0.0375000000000014
19.96,316.106267636938,15.75,0.125000000000002
20,316.738555292357,15.74,0.175000000000001
20.04,317.372702085332,15.74,0.1875
20.08,318.003321636742,15.76,0.212500000000002
20.12,318.63560927281,15.8,0.200000000000002
20.16,319.267896904197,15.8,0.137500000000002
20.2,319.909525865372,15.81,0.1
20.24,320.551154820445,15.81,0.0874999999999981
20.28,321.183442432482,15.79,0.137499999999999
20.32,321.81758918485,15.79,0.225
20.36,322.448208694094,15.82,0.237499999999999
20.4,323.075124381853,15.81,0.212499999999998
20.44,323.716753305065,15.82,0.162499999999997
20.48,324.360214377932,15.85,0.112499999999998
20.52,324.987130046101,15.87,0.112499999999998
20.56,325.628758948977,15.84,0.162499999999997
20.6,326.257943663368,15.85,0.162499999999999
20.64,326.899572552007,15.84,0.137500000000002
20.68,327.53576776892,15.87,0.137499999999999
20.72,328.181247764074,15.89,0.137499999999999
20.76,328.810432450487,15.91,0.162500000000001
20.8,329.453893465897,15.89,0.200000000000002
20.84,330.080809078561,15.87,0.250000000000004
20.88,330.728493069443,15.89,0.250000000000004
20.92,331.353329720706,15.92,0.175000000000005
20.96,332.001013696895,15.92,0.125000000000006
21,332.639444934524,15.9,0.1875
21.04,333.264281563511,15.9,0.224999999999997
21.08,333.911965516785,15.92,0.212500000000007
21.12,334.538881077863,15.95,0.187500000000012
21.16,335.186565015691,15.98,0.112500000000009
21.2,335.836636150062,15.98,0.137499999999999
21.24,336.465820747337,15.98,0.237499999999993
21.28,337.113504660318,15.98,0.237499999999993
21.32,337.751935835803,15.97,0.187499999999992
21.36,338.381120409655,15.97,0.162499999999994
21.4,339.02880429846,16,0.0875000000000048
21.44,339.660445980978,15.98,0.0750000000000051
21.48,340.308129853075,16.01,0.124999999999991
21.52,340.958200921787,16.01,0.124999999999984
21.56,341.592485583093,16.01,0.124999999999984
21.6,342.240169428918,16.06,0.062499999999992
21.64,342.890240471536,16.09,0.0250000000000039
21.68,343.531093245046,16.06,0.0625000000000053
21.72,344.16537787279,16.04,0.0625000000000009
21.76,344.797019487904,16.03,0.0749999999999984
21.8,345.449658869113,16.01,0.074999999999994
21.84,346.078843342115,16.03,0.0499999999999945
21.88,346.722301242011,16.06,0.012500000000002
21.92,347.359412395627,16.06,4.44089209850063e-15
21.96,348.012051740181,16.06,0.012500000000002
22,348.649162875163,16.06,-0.0124999999999975
22.04,349.299233826115,16.11,-0.100000000000002
22.08,349.924353587337,16.09,-0.150000000000006
22.12,350.576992894475,16.06,-0.0999999999999979
22.16,351.214103993474,16.07,-0.0624999999999964
22.2,351.848388513434,16.03,0.0625000000000009
22.24,352.503775205272,16.05,0.187499999999998
22.28,353.131762742297,16.05,0.187499999999998
22.32,353.784402000783,16.07,0.0749999999999984
22.36,354.424520756433,16.06,-0.074999999999994
22.4,355.061631798246,16.05,-0.112499999999986
22.44,355.717018440309,16.04,-0.062499999999992
22.48,356.342138108105,16.04,0.012500000000002
22.52,356.99134769528,16.03,0.1125
22.56,357.616467344128,16.05,0.162500000000003
22.6,358.268818808826,16.1,0.0249999999999995
22.64,358.918028365446,16.13,-0.199999999999996
22.68,359.546015806409,16.12,-0.262499999999992
